Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
4575;Cours Cambronne;Parc;Cours Cambronne;44000;Nantes;47.211941696999986, -1.5631886610000265;https://nature.metropole.nantes.fr;Ligne 1 Médiathèque;;NON;;;;;;;NON;NON;
4607;Square Barbara;Parc;Rue de la Grange au Loup;44300;Nantes;47.26608304400003, -1.523076419000006;https://nature.metropole.nantes.fr;Ligne 2 Place du Cirque / Ligne C6 Portricq;;NON;;;;;;;NON;NON;
1534;Square Villebois Mareuil;Parc;Allée de la Bourse;44000;Nantes;47.21241709200001, -1.5589719939999895;https://nature.metropole.nantes.fr;;;;;;;;;;;;
1518;Square Commandant Lacroix;Parc;Rue de l'Hermitage;44100;Nantes;47.20346237199999, -1.5759191070000043;https://nature.metropole.nantes.fr;;;NON;;;;;;;NON;NON;
6122;Parc du Jamet;Parc;Rue du Jamet;44100;Nantes;47.20822451999999, -1.6053341940000223;;;;NON;;;;;;;NON;NON;
1020;Parc du Grand Blottereau;Parc;Boulevard Auguste Péneau;44300;Nantes;47.228394783, -1.510025784999982;https://nature.metropole.nantes.fr;Tramway Ligne 1 ou bus lignes 12 58 75 82 92;<p>Canna, plantes tropicales</p>;NON;;;;;;;NON;OUI;
1018;Parc de la Roche;Parc;Rue de la Révolution des Oeillets;44000;Nantes;47.21851405000001, -1.5175650680000103;https://nature.metropole.nantes.fr;Bus C3 Arrêt La Roche;;NON;;;;;;;NON;OUI;
1521;Square Maquis de Saffré;Parc;Rue Sully;44000;Nantes;47.22225945500003, -1.552084829000023;https://nature.metropole.nantes.fr;Ligne 2 Saint Mihiel;;NON;;;;;;;NON;OUI;
1025;Square Elisa Mercoeur;Parc;1 Cours Commandant d'Estienne d'Orves;44000;Nantes;47.214355668999985, -1.5510691700000052;https://nature.metropole.nantes.fr;Bouffay Ligne 1;;NON;;;;;;;NON;OUI;
4580;Jardin de la Psalette;Parc;Impasse Saint Laurent;44000;Nantes;47.21779103799997, -1.5499393939999777;https://nature.metropole.nantes.fr;Lignes C1, C6, 11, 12 - Arrêt Saint Pierre ou FochLigne busway 4 - Arrêt Foch;;NON;;;;;;;NON;NON;
4584;Square Canclaux;Parc;Place Canclaux;44100;Nantes;47.21440703500002, -1.5744817539999758;https://nature.metropole.nantes.fr;Canclaux Lignes 21 23 24 H;;NON;;;;;;;NON;NON;
6017;Parc du Chêne des Anglais;Parc;Rue Samuel De Champlain;44300;Nantes;47.260616024, -1.5731922620000205;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
1017;Parc de la Chantrerie;Parc;95 Route de Gachet;44300;Nantes;47.286413176999986, -1.5243799190000118;https://nature.metropole.nantes.fr;Ligne 2 Place du cirque / Ligne C6 Grandes Ecoles;;NON;;;;;;;OUI;NON;
1531;Square Pascal Lebée;Parc;Rue Dugommier;44000;Nantes;47.216107109999996, -1.5635025010000163;https://nature.metropole.nantes.fr;Delorme Ligne 22 51 54 F;;NON;;;;;;;NON;NON;
6123;Square Grande Noue;Parc;Rue de la Bottière;44300;Nantes;47.237754713000015, -1.5209350700000073;;;;;;;;;;;;;
1522;Square de l'Edit de Nantes;Parc;Place de l'Edit de Nantes;44100;Nantes;47.21435363699999, -1.5677651240000046;https://nature.metropole.nantes.fr;Edit de Nantes Lignes 21 23 24 56 H;;NON;;;;;;;NON;OUI;
1513;Square Amiral Halgan;Parc;Place de l'Hôtel de Ville;44000;Nantes;47.217388805999974, -1.5544883819999882;https://nature.metropole.nantes.fr;Hôtel de Ville Lignes 11 12 21 22 23 C LU;;NON;;;;;;;NON;NON;
6022;Square de la Hunaudais;Parc;Rue de la Hunaudais;44100;Nantes;47.210112048999974, -1.5855563409999718;https://nature.metropole.nantes.fr;Bus ligne 10 et 11 Arrêt Convention;;NON;;;;;;;NON;NON;
5665;Le Jardin Extraordinaire;Parc;1 Rue Joseph Cholet;44100;Nantes;47.20018378100002, -1.5808838419999915;https://nature.metropole.nantes.fr;Chronobus C20 arrêt Carrière Misery  Bus ligne 81 arrêt Carrière Misery;;NON;;;;;;;NON;NON;
3209;Square Jules Verne;Parc;Rue de l'Hermitage;44100;Nantes;47.20145181800001, -1.5775880200000074;https://nature.metropole.nantes.fr;;;NON;;;;;;;NON;NON;
1530;Square Maurice Schwob;Parc;3 Rue des Garennes;44100;Nantes;47.20115187900001, -1.5811743979999733;https://nature.metropole.nantes.fr;Ligne 26 St Nicolas/ Ligne C1 Lusanças;<p>Possibilité de rejoindre le jardin extraordinaire par l'escalier métal crée par François Delarozière</p>;NON;;;;;;;NON;OUI;
1526;Square Gaston Michel;Parc;Boulevard des Américains;44300;Nantes;47.234966359, -1.5715036440000176;https://nature.metropole.nantes.fr;Américains Ligne C2;;NON;;;;;;;NON;NON;
2641;Jardin des Maraîches;Parc;Rue de la Haluchère;44300;Nantes;47.24627462400002, -1.5163231230000065;https://nature.metropole.nantes.fr;Ligne 1 Pin Sec;;NON;;;;;;;OUI;OUI;
3216;Square Eglise de La Madeleine;Parc;Boulevard Gustave Roch;44200;Nantes;47.20515258099999, -1.5486900249999849;https://nature.metropole.nantes.fr;;;;;;;;;;;;
1512;Square de la Marseillaise;Parc;47 Rue du Bois Hercé;44100;Nantes;47.20783292499999, -1.5923497549999865;https://nature.metropole.nantes.fr;Marseillaise Ligne 11 ou Ligne 1 Egalité;;NON;;;;;;;NON;NON;
6034;Square Robert Desnos;Parc;92 Bis Boulevard de la Solidarité;44100;Nantes;47.21729333600001, -1.5961893620000183;https://nature.metropole.nantes.fr;Bus ligne 23 Arrêt Repos de Chasse;;;;;;;;;;;
1532;Square Toussaint Louverture;Parc;Rue des Usines;44100;Nantes;47.194884883999976, -1.6161157369999728;https://nature.metropole.nantes.fr;Ligne 1 gare maritime / Ligne E1 Gare de Chantenay;;NON;;;;;;;NON;NON;
4599;Place de la Guirouée;Parc;Place de la Guiroué;44200;Nantes;47.20847208800001, -1.527572163000002;https://nature.metropole.nantes.fr;Ligne C2 ou ligne 2 Place du Cirque;;NON;;;;;;;NON;NON;
6124;Square Méliès;Parc;Rue Georges Méliès;44100;Nantes;47.23169131100002, -1.5818249980000019;;;;NON;;;;;;;NON;NON;
4087;Parc de l'Amande;Parc;Rue Eugène Thomas;44300;Nantes;47.262856242, -1.5709898229999908;https://nature.metropole.nantes.fr;Bus Ligne 50 arrêt Géraudière;;NON;;;;;;;NON;NON;
4582;Square des Courtils;Parc;Rue des Courtils;44100;Nantes;47.20043817499999, -1.5933392759999947;https://nature.metropole.nantes.fr;Ligne 1 Gare maritime et ligne 81 Gare de Chantenay;;NON;;;;;;;NON;NON;
4604;Square du Nadir;Parc;Rue du Nadir;44300;Nantes;47.267014768000024, -1.51896582400002;https://nature.metropole.nantes.fr;Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie;;NON;;;;;;;NON;NON;
6126;Esplanade Jean Bruneau;Parc;Rue de l'Hermitage;44100;Nantes;47.202491312999996, -1.5763116850000074;;;;;;;;;;;;;
6024;Square de la Rue de l'Adour;Parc;Rue de l'Adour;44100;Nantes;47.20661805100002, -1.608503703999986;;;;NON;;;;;;;NON;NON;
3204;Parc des Dervallières;Parc;Rue Louis Le Nain;44100;Nantes;47.22496123799999, -1.5950487119999934;https://nature.metropole.nantes.fr;"Ligne 54 Grand Carcouet; Ligne 25 Le nain";;NON;;;;;;;NON;NON;
4593;Square Basse Mar;Parc;Place de la Basse Mar;44200;Nantes;47.208045371000026, -1.5252713290000202;https://nature.metropole.nantes.fr;Pompidou 24 52 B Bus C5;;NON;;;;;;;NON;NON;
1519;Square Washington;Parc;Boulevard des Américains;44300;Nantes;47.23321879399998, -1.5743768280000268;https://nature.metropole.nantes.fr;;;;;;;;;;;;
3217;Square Gustave Roch;Parc;22 Boulevard Gustave Roch;44200;Nantes;47.20509154400003, -1.5499660099999915;https://nature.metropole.nantes.fr;"Wattignies Lignes 2 ; 3";;NON;;;;;;;NON;NON;
6013;Jardin Sainte Croix;Parc;4 Place Sainte Croix;44000;Nantes;47.21517963399998, -1.5538660189999973;https://nature.metropole.nantes.fr/;;;;;;;;;;;;
4418;Jardin de l'île Mabon;Parc;Quai François Mitterrand;44200;Nantes;47.20752445400001, -1.5596282210000254;https://nature.metropole.nantes.fr;Ligne 1 Chantiers Navals;;NON;;;;;;;NON;NON;
6035;Jardin de la Persagotière;Parc;Allée Marie Heurtin;44200;Nantes;47.191889616000026, -1.5380047030000128;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
6020;Square de Chypre;Parc;Rue de Chypre;44000;Nantes;47.216404565999994, -1.5228395930000147;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
5933;Square du Clos Toreau;Parc;Place du Muguet Nantais;44200;Nantes;47.19488783999998, -1.5281277110000246;;;;NON;;;;;;;NON;NON;
4600;Aire du Stade de la Beaujoire;Parc;Route de Saint Joseph;44300;Nantes;47.25784177899999, -1.5249530849999928;https://nature.metropole.nantes.fr;Beaujoire Ligne 1;;NON;;;;;;;NON;NON;
6014;Parc de la Boissière;Parc;Rue André Chérier;44300;Nantes;47.25421125999998, -1.5681790309999997;https://nature.metropole.nantes.fr/;;;;;;;;;;;;
6030;Square Louis Pergaud;Parc;Rue Louis Pergaud;44300;Nantes;47.26855050299997, -1.5188367179999887;https://nature.metropole.nantes.fr;;;NON;;;;;;;NON;NON;
4588;Jardin des Nectars;Parc;Petite Avenue de Longchamp;44300;Nantes;47.23806853399998, -1.5826193600000238;https://nature.metropole.nantes.fr;Ligne 3 Beauséjour;;NON;;;;;;;NON;OUI;
4590;Square Pablo Picasso;Parc;Mail Pablo Picasso;44000;Nantes;47.21503142099999, -1.536421603000008;https://nature.metropole.nantes.fr;Ligne C3 Picasso;;NON;;;;;;;NON;NON;
4594;Square Proust Bergson;Parc;Rue Henri Bergson;44300;Nantes;47.25438482599998, -1.5708382139999912;https://nature.metropole.nantes.fr;Ligne C2 Bout des Pavés;;NON;;;;;;;NON;NON;
2372;Parc Floral de la Beaujoire;Parc;Route de Saint Joseph;44300;Nantes;47.26217104900002, -1.5330595020000146;https://nature.metropole.nantes.fr;Chronobus C6 - arrêt RoseraieTram Ligne 1 - arrêt BeaujoireBus 75 - arrêt Roseraie;<p>Collection de magnolia et de rosiers, vivaces</p>;NON;;;;;;;OUI;OUI;
1533;Square Vertais;Parc;Rue Petite Biesse;44200;Nantes;47.202467919000014, -1.5465816500000074;https://nature.metropole.nantes.fr;Mangin 2 3 - Bourgault Ducou 42 B - bus C5 vincent gâche;;NON;;;;;;;NON;OUI;
4585;Square Pilleux;Parc;Boulevard Benoit Frachon;44100;Nantes;47.20763689500001, -1.5803692129999831;https://nature.metropole.nantes.fr;Ligne 1 Du Chauffault;;NON;;;;;;;NON;NON;
4596;Parc des Chantiers;Parc;Boulevard Léon Bureau;44200;Nantes;47.20678428399998, -1.5662161729999866;;Tramway Ligne 1 - arrêt Chantiers NavalsChronobus Ligne C5 - arrêt Prairie au DucNavibus Ligne N2 - Liaison fluviale entre Bas-Chantenay et Hangar à Bananes;"<p>Mise à disposition d'un distributeur ""Zéro Tabou"" de <strong>protections périodiques gratuites</strong>, dans les sanitaires publics à proximité des Nefs.<br />Pour en savoir plus, <a href=""https://metropole.nantes.fr/zerotabou"" target=""_blank"" rel=""noopener"">cliquez ici</a></p><p> </p>";NON;;;;;;;NON;NON;
1508;Jardin d'Enfants de Procé;Parc;Rue des Dervallières;44100;Nantes;47.222289579000005, -1.5815620710000076;https://nature.metropole.nantes.fr;Ligne C3 Procé;;OUI;;;;;;;NON;OUI;
1515;Square Bénoni Goulin;Parc;Rue du Scorff;44200;Nantes;47.20215614, -1.5515464079999788;https://nature.metropole.nantes.fr;MIN Ligne 26;;NON;;;;;;;NON;NON;
